Time,Arte,Autos,Belleza,Bienes raices,Ciencia,Comida,Compras,Comunidades,Deportes,Empresas,Finanzas,Hogar,Informatica,Internet,Juegos,Ley,Libros,Mascotas,Noticias,Pasatiempos,Personas,Referencia,Salud,Trabajos,Viajes
June 2009,83,53,38,65,52,41,54,39,39,59,62,41,74,59,80,68,64,53,56,46,65,59,52,82,60
July 2009,85,55,39,65,31,39,56,41,36,49,64,40,71,58,87,59,53,48,60,42,61,49,43,80,62
August 2009,80,55,40,65,56,40,55,39,36,56,66,40,76,58,83,65,56,51,49,43,66,63,49,91,54
September 2009,77,53,36,63,73,40,52,37,35,64,65,41,78,57,69,71,70,53,51,45,68,75,55,73,50
October 2009,77,53,37,59,63,40,54,37,34,60,61,39,73,57,69,69,69,53,48,49,66,67,53,66,49
November 2009,72,49,34,53,56,39,52,35,32,53,55,38,69,55,66,62,67,49,44,45,62,61,49,60,47
December 2009,69,45,31,46,35,39,52,35,29,40,49,32,63,52,74,49,47,41,42,48,53,45,37,49,42
January 2010,67,49,33,55,40,34,47,36,30,43,50,34,64,52,68,58,52,46,47,38,57,53,41,68,46
February 2010,69,50,33,56,56,38,47,37,31,56,53,37,67,53,66,64,61,46,47,42,61,61,47,67,46
March 2010,70,51,35,54,47,37,45,38,30,52,52,37,63,54,66,63,57,47,46,39,61,58,47,59,50
April 2010,72,52,36,55,45,36,46,41,32,49,49,36,62,62,67,64,56,48,47,39,60,56,46,56,47
May 2010,72,47,36,56,47,37,46,42,34,52,50,36,61,56,66,63,61,47,44,40,59,54,45,60,47
June 2010,71,45,36,54,39,35,47,43,49,47,48,35,59,58,68,60,52,44,48,38,56,52,41,66,46
July 2010,68,44,37,51,25,33,45,44,33,39,48,32,55,56,69,52,41,40,48,33,51,43,35,58,47
August 2010,64,47,40,54,43,33,43,44,28,46,56,33,58,55,62,57,46,42,43,33,52,54,40,68,47
September 2010,60,43,35,51,51,34,41,43,26,48,52,31,59,52,54,61,55,43,41,33,54,63,44,55,42
October 2010,61,42,37,48,47,33,43,43,27,47,50,31,56,54,53,59,55,41,39,36,53,56,43,50,41
November 2010,59,42,36,46,44,33,43,43,28,45,49,32,53,54,53,59,57,44,39,36,53,53,42,47,40
December 2010,57,40,34,40,29,35,44,45,23,34,45,27,48,53,58,45,42,37,36,39,45,40,32,42,37
January 2011,90,65,55,70,51,47,63,70,37,62,68,45,76,82,88,82,78,63,58,48,77,74,54,88,59
February 2011,89,66,58,72,72,52,65,75,40,75,72,49,80,87,86,92,89,66,62,54,83,86,64,86,62
March 2011,91,67,61,71,67,51,62,77,39,74,71,51,79,82,83,97,84,70,60,52,79,82,68,80,64
April 2011,92,60,60,68,48,51,63,80,47,61,66,47,76,81,89,84,74,65,54,49,77,69,59,68,69
May 2011,96,64,62,72,61,54,65,77,48,69,71,51,78,82,83,89,84,67,56,55,79,75,64,82,64
June 2011,95,65,66,71,56,55,66,84,45,67,71,53,80,88,92,89,78,68,58,52,79,75,61,95,66
July 2011,97,62,65,71,35,52,66,86,43,56,67,47,75,87,100,79,71,64,58,48,73,66,51,81,67
August 2011,100,70,69,77,64,55,67,88,43,71,87,54,84,95,92,94,83,75,60,53,84,88,62,98,66
September 2011,95,67,68,73,81,55,67,84,39,74,81,54,85,90,84,98,95,78,56,55,87,97,68,84,63
October 2011,95,67,69,73,73,56,71,82,45,72,79,53,85,84,84,98,92,72,60,62,85,87,67,76,63
November 2011,97,65,63,68,71,56,75,82,43,70,80,56,82,78,82,88,97,79,59,66,88,81,66,72,63
December 2011,96,63,62,58,43,60,73,81,37,55,73,47,75,77,94,66,79,69,53,68,77,61,50,64,58
January 2012,94,70,66,71,55,56,69,80,40,64,81,51,78,81,84,82,95,90,58,60,85,76,63,90,63
February 2012,95,74,70,74,71,59,71,81,38,76,82,54,82,89,83,88,100,96,61,66,91,84,69,82,62
March 2012,96,77,71,71,67,60,71,84,43,73,86,58,78,85,86,93,93,91,58,62,93,79,70,79,69
April 2012,92,67,69,68,49,56,69,82,48,63,74,54,73,80,83,76,80,88,55,57,84,68,63,66,64
May 2012,95,73,72,71,64,63,73,86,46,74,79,59,78,87,83,93,96,84,63,63,92,75,70,82,64
June 2012,97,70,75,72,55,61,73,89,49,70,76,58,77,94,88,91,85,86,65,62,90,71,64,89,66
July 2012,98,71,77,75,38,59,77,87,48,60,77,57,73,89,93,81,71,84,75,58,86,63,57,80,73
August 2012,92,76,74,76,66,60,76,88,58,74,90,61,81,89,84,84,81,86,58,60,92,80,69,97,69
September 2012,93,75,75,76,80,63,78,81,44,79,91,61,85,90,79,97,94,88,57,63,97,92,76,83,66
October 2012,92,73,74,71,73,64,79,92,44,76,87,60,80,88,75,91,91,85,55,69,93,84,75,77,65
November 2012,88,72,71,66,67,60,80,93,45,71,82,60,77,90,78,85,89,85,53,68,89,78,68,71,65
December 2012,90,66,67,55,42,62,75,91,42,54,74,50,68,89,86,66,69,75,50,70,79,61,53,61,59
January 2013,87,78,71,71,55,59,75,89,43,66,81,58,73,94,78,85,84,91,57,64,84,71,64,87,64
February 2013,86,76,72,69,70,63,76,91,45,76,83,59,74,90,76,88,91,85,54,67,90,79,71,82,63
March 2013,88,77,73,67,56,63,73,89,42,68,75,59,70,88,78,82,78,85,54,61,86,69,68,68,69
April 2013,91,78,77,73,59,65,73,96,48,75,83,61,74,94,77,91,84,87,56,62,89,75,72,79,68
May 2013,91,79,79,73,63,67,78,100,51,76,86,62,77,98,79,87,90,87,57,67,89,73,73,79,68
June 2013,92,78,81,75,52,66,77,100,47,70,81,61,74,93,80,82,78,84,56,64,85,70,66,93,71
July 2013,92,79,83,77,37,66,80,98,43,64,83,60,72,93,84,80,67,82,59,61,81,64,64,85,77
August 2013,93,80,79,78,64,66,77,98,45,76,92,64,77,96,77,85,77,86,56,62,88,81,73,96,73
September 2013,90,77,76,74,76,65,77,91,48,75,87,63,79,93,71,91,94,86,62,62,90,89,75,83,65
October 2013,95,81,79,74,74,67,82,86,46,77,85,63,78,89,69,91,92,89,57,77,95,88,79,81,68
November 2013,92,78,77,69,69,68,85,87,46,74,84,66,75,90,70,83,90,95,57,79,87,78,72,75,68
December 2013,87,73,72,61,44,72,81,81,42,61,76,55,69,83,74,66,73,83,60,81,79,61,58,64,63
January 2014,90,83,76,76,55,65,81,78,44,70,82,63,73,88,66,85,88,87,59,71,86,74,71,88,72
February 2014,90,81,77,76,66,72,78,78,45,78,81,64,75,87,62,100,90,88,58,75,87,83,77,84,68
March 2014,93,87,79,77,66,73,80,75,47,81,85,66,77,84,64,91,88,93,58,72,90,79,80,82,75
April 2014,94,81,80,77,56,70,76,78,52,70,79,65,71,90,65,83,86,85,54,71,85,72,73,72,76
May 2014,93,84,82,77,62,73,81,77,55,75,84,69,75,90,64,85,91,92,58,78,87,75,78,82,74
June 2014,95,82,85,78,58,75,83,81,93,75,84,68,73,90,69,89,81,90,57,73,90,77,76,90,78
July 2014,92,87,88,83,40,76,84,78,66,70,89,70,72,89,70,82,73,88,55,72,83,69,70,84,84
August 2014,94,87,83,82,64,74,82,77,50,80,94,71,77,88,63,86,81,91,55,72,90,85,79,100,77
September 2014,90,85,80,83,79,75,82,73,50,82,94,72,80,89,58,91,95,90,60,73,92,97,83,86,74
October 2014,90,82,83,79,74,79,87,73,48,79,89,73,77,90,59,95,89,88,56,84,95,90,88,80,73
November 2014,86,79,77,69,67,72,85,68,48,77,84,73,73,94,57,83,88,91,59,80,87,77,75,75,70
December 2014,84,80,77,64,44,78,86,66,45,62,84,64,68,79,59,68,70,86,51,89,82,62,62,63,68
January 2015,85,87,79,80,53,72,83,66,45,71,82,69,70,81,56,83,83,88,59,77,84,75,76,82,74
February 2015,88,88,79,81,67,78,84,62,44,83,84,72,75,81,52,89,91,88,57,79,89,84,81,83,71
March 2015,87,87,80,79,63,75,80,62,49,79,86,70,73,79,53,89,82,88,59,77,87,79,82,77,79
April 2015,86,84,82,80,57,75,80,62,49,74,81,72,69,78,50,83,80,89,55,73,83,72,79,70,77
May 2015,87,83,83,78,61,75,78,63,56,76,78,72,70,78,52,84,85,88,56,78,87,72,79,75,73
June 2015,86,85,86,79,60,77,82,65,49,78,81,74,73,80,52,90,81,91,67,76,88,74,80,89,78
July 2015,92,91,96,88,44,83,89,68,51,73,90,78,74,83,57,94,74,92,57,76,86,71,79,80,90
August 2015,91,94,94,89,60,81,89,65,50,82,92,80,78,84,55,90,80,95,54,78,91,81,83,96,85
September 2015,90,95,88,86,85,85,88,64,50,86,93,80,81,86,54,98,93,95,55,81,100,100,91,87,79
October 2015,91,90,94,82,75,86,95,62,49,87,91,80,79,85,53,94,92,91,59,90,97,96,92,80,78
November 2015,89,89,90,80,74,83,94,62,55,84,87,82,77,85,55,89,95,100,57,91,95,90,86,78,79
December 2015,85,90,92,73,51,91,97,60,48,71,88,74,72,80,55,72,77,91,54,100,83,70,73,62,77
January 2016,88,95,90,95,58,81,87,77,48,80,82,80,71,82,55,95,91,95,66,89,90,82,79,85,82
February 2016,89,97,91,96,76,86,85,75,48,92,85,82,75,84,52,97,100,90,60,92,97,94,93,87,81
March 2016,89,95,93,94,62,83,85,74,48,85,82,83,71,82,52,89,85,88,64,84,89,82,86,76,89
April 2016,89,96,98,99,70,86,88,71,60,90,88,87,74,91,52,99,91,95,61,84,98,86,93,83,84
May 2016,89,93,99,95,68,85,87,71,65,88,87,84,73,92,51,92,94,93,62,89,92,82,88,79,83
June 2016,87,94,98,99,62,87,88,65,62,85,88,85,72,96,52,93,84,90,68,84,91,81,84,86,87
July 2016,87,98,100,100,40,85,90,61,49,75,86,83,68,96,57,82,71,89,58,79,85,69,75,77,94
August 2016,86,95,89,100,63,80,84,55,71,88,91,81,71,100,53,90,74,88,58,77,86,82,80,92,87
September 2016,84,95,88,98,84,87,84,52,50,92,92,83,77,97,52,96,89,94,60,80,90,99,92,85,84
October 2016,83,92,90,92,74,88,93,49,52,90,87,85,75,91,49,96,85,86,57,89,88,94,88,80,81
November 2016,79,90,83,88,74,87,89,42,57,89,95,87,74,89,48,92,86,91,74,86,89,85,83,75,83
December 2016,76,91,86,79,47,94,94,44,50,71,83,76,64,88,51,75,66,87,59,92,76,67,70,63,81
January 2017,77,95,83,95,57,83,87,41,50,83,86,81,67,87,47,93,80,85,74,76,83,80,78,87,84
February 2017,79,95,86,96,73,85,84,42,52,93,89,83,73,82,47,100,87,83,65,82,89,89,89,85,83
March 2017,80,98,86,97,73,88,87,41,47,95,92,86,75,87,46,100,79,88,63,79,89,90,95,82,89
April 2017,79,87,86,93,53,83,82,40,57,79,86,81,66,81,44,83,69,84,55,74,79,73,81,62,93
May 2017,77,90,87,97,64,85,87,42,62,90,90,89,70,81,45,93,76,89,60,81,82,80,87,81,87
June 2017,76,92,85,99,58,87,88,40,52,88,90,92,68,81,43,91,68,86,63,73,84,79,83,87,90
July 2017,76,90,88,94,39,84,89,41,45,76,89,84,63,71,43,77,59,80,57,68,73,69,76,71,94
August 2017,77,92,83,100,65,84,84,41,50,87,98,85,72,79,42,88,69,83,61,69,81,84,83,91,90
September 2017,76,86,77,94,75,83,83,40,46,87,91,83,71,83,43,93,75,81,66,68,85,92,86,86,79
October 2017,78,88,86,93,74,87,94,36,52,90,94,87,71,83,41,93,77,80,59,78,84,95,91,81,84
November 2017,77,91,85,86,72,87,93,34,52,88,96,90,71,80,41,86,76,88,57,80,80,85,83,74,85
December 2017,69,87,80,75,46,94,96,32,44,72,90,79,64,75,42,74,60,77,72,84,71,65,72,62,81
January 2018,73,94,80,90,56,85,89,31,49,83,95,86,68,80,42,91,71,82,85,72,78,80,80,85,86
February 2018,76,93,82,95,71,90,88,31,55,93,95,90,70,83,41,97,81,84,73,78,85,92,91,85,87
March 2018,74,89,84,89,62,87,83,28,50,85,90,89,64,80,40,88,70,82,59,71,78,83,91,73,93
April 2018,77,90,85,92,60,86,88,29,59,90,95,90,64,86,40,96,69,83,66,68,80,82,89,73,92
May 2018,77,88,87,93,65,90,90,28,55,92,97,91,67,85,39,100,73,84,64,76,79,81,92,80,92
June 2018,75,86,83,90,57,89,89,28,100,85,93,88,63,82,39,90,62,77,72,67,78,79,86,81,93
July 2018,73,89,89,95,43,91,91,27,68,80,96,90,61,75,39,92,56,82,97,67,75,72,82,74,100
August 2018,72,92,85,99,64,88,89,26,53,92,100,93,65,76,38,95,66,90,90,69,79,85,92,91,91
September 2018,72,88,82,92,78,91,85,24,56,94,94,89,68,74,40,93,78,88,88,70,83,95,96,82,83
October 2018,71,88,85,89,74,90,92,23,57,92,92,92,66,72,38,95,75,89,88,77,82,90,93,78,86
November 2018,69,87,80,83,68,91,97,23,55,90,95,95,66,69,39,93,73,85,99,76,77,83,89,70,87
December 2018,69,86,85,78,44,100,100,21,60,75,90,86,57,63,39,80,57,80,99,80,69,66,75,58,86
January 2019,67,100,81,92,59,92,89,21,54,86,97,94,61,66,40,97,71,93,100,72,78,80,89,82,89
February 2019,70,94,87,96,70,97,90,21,58,100,99,99,66,68,38,98,78,94,99,76,82,90,99,85,90
March 2019,70,93,85,99,67,93,88,21,57,96,96,100,63,67,37,98,72,88,81,70,82,87,100,79,97
